yr.si,Year,Site,Initial dominance,Transect,Acropora,Isopora,Montipora,Pocillopora,Seriatopora,Stylophora,Porites - branching,Porites - massive,Goniopora,Favia (plocoid),Favites (ceriod),Goniastrea,Echinopora,Galaxea,Encrust,Turbinaria,Hydonophora,Lobophyllia,Symphyllia,Millepora,Coral,Palythoa,Sinularia,Sarcophyton,Sargassaceae,Turbinaria algae,Hormophyssa,Padina,Dictyota,Dictyopterus,Hydroclathrus,Colpomenia,Chnoospora,Lobophora,Asparagopsis,Acanthophora,Amphiroa,Laurencia,Hypnea,Halymenia,Galaxaura,Liagora,Cyanobacteria,Halimeda,Halicoyrne,Dictyosphaeria,Chlorodesmis,Caulerpa,Neomeris,Valonia,Macroalgae,Sand,Sand/Rubble,Rubble,Pavement,Dead branching,Dead massive,Sponge,Ascidian,Clam,Zoantharian - Red,Zoantharian - Green
13.TSC,2013,Turtle South - Coral,Coral,1,25,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,5
13.TSC,2013,Turtle South - Coral,Coral,2,19,3,3,1,0,2,0,1,0,0,0,2,0,0,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,54,0
13.TSC,2013,Turtle South - Coral,Coral,3,28,2,8,1,0,2,3,7,0,0,0,0,0,0,0,0,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,42,0
13.TSC,2013,Turtle South - Coral,Coral,4,39,2,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,0
14.TSC,2014,Turtle South - Coral,Coral,1,48.38709677,0,0,0,0,3.225806452,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,54.83870967,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12903226,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,19.35483871,3.225806452,0,22.58064516,0,0,0,0,0,0,0,0
14.TSC,2014,Turtle South - Coral,Coral,2,16.12903226,0,0,0,0,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,35.48387097,0,0,0,0,0,0,9.677419355,3.225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,19.35483871,0,9.677419355,29.03225806,6.451612903,0,0,0,0,0,0,0
14.TSC,2014,Turtle South - Coral,Coral,3,22.58064516,0,3.225806452,0,0,3.225806452,6.451612903,0,9.677419355,0,0,0,0,3.225806452,0,0,0,0,0,0,48.38709677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.38709677,0,3.225806452,0,0,0,0,0,0
14.TSC,2014,Turtle South - Coral,Coral,4,35.48387097,0,0,3.225806452,0,0,0,0,12.90322581,0,0,0,0,0,0,0,0,0,0,0,51.61290323,0,0,0,0,0,0,9.677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90322581,0,0,0,0,0,0,0,22.58064517,0,0,12.90322581,0,12.90322581,0,0,0,0,0,0
15.TSC,2015,Turtle South - Coral,Coral,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,22,0,0,0,0,36,74,14,0,2,0,6,0,0,0,0,0,0
15.TSC,2015,Turtle South - Coral,Coral,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,28,64,12,0,14,0,2,8,0,0,0,0,0
15.TSC,2015,Turtle South - Coral,Coral,3,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,28,50,20,0,2,0,2,18,0,0,0,0,0
15.TSC,2015,Turtle South - Coral,Coral,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,50,66,16,0,8,0,0,10,0,0,0,0,0
16.TSC,2016,Turtle South - Coral,Coral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,18,46,9,0,39,6,0,0,0,0,0,0,0
16.TSC,2016,Turtle South - Coral,Coral,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,0,0,15,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,45,0,0,48,0,0,0,0,0,0,0,0
16.TSC,2016,Turtle South - Coral,Coral,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,54,7,0,33,6,0,0,0,0,0,0,0
16.TSC,2016,Turtle South - Coral,Coral,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,15,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,30,3,0,43,22,0,0,0,0,0,0,0
17.TSC,2017,Turtle South - Coral,Coral,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,32,0,0,14,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,70,0,6,16,2,0,0,0,0,0,0,0
